Unnamed: 0,date,sender,transaction_amount,balance,transaction_type,adjusted_balance
27,05-01-2014,David,37.38,152.93646,withdrawal,115.55646
31,06-01-2014,Alice,208.11,0,deposit,208.11
32,06-01-2014,Bob,360.36,0,deposit,360.36
33,06-01-2014,Charlie,621.16,0,deposit,621.16
34,06-01-2014,Bob,413.25,0,withdrawal,-413.25
37,07-01-2014,Bob,123.13,25.8544154,withdrawal,-97.2755846
35,07-01-2014,Eve,141.55,0,withdrawal,-141.55
38,07-01-2014,Alice,201.09,0,withdrawal,-201.09
41,07-01-2014,Eve,76.12,82.150445,deposit,158.270445
36,07-01-2014,David,206.64,88.57568628,withdrawal,-118.0643137
40,07-01-2014,Eve,896.58,137.4795186,deposit,1034.059519
39,07-01-2014,David,129.14,38.06682209,deposit,167.2068221
43,08-01-2014,Charlie,36.26,0,withdrawal,-36.26
44,08-01-2014,Alice,25.63,0,deposit,25.63
45,08-01-2014,Alice,138.04,0,deposit,138.04
46,08-01-2014,Bob,800.92,0,withdrawal,-800.92
47,08-01-2014,Alice,12.17,0,withdrawal,-12.17
48,08-01-2014,Alice,861.86,0,deposit,861.86
49,08-01-2014,Bob,686.58,0,withdrawal,-686.58
42,08-01-2014,Alice,435.58,0,withdrawal,-435.58
51,09-01-2014,Alice,443.29,0,withdrawal,-443.29
50,09-01-2014,Alice,69.23,0,deposit,69.23
59,10-01-2014,Charlie,1.56,0,deposit,1.56
56,10-01-2014,Alice,102.87,0,deposit,102.87
58,10-01-2014,Charlie,465.9,0,withdrawal,-465.9
54,10-01-2014,Bob,127.84,0,deposit,127.84
53,10-01-2014,Bob,94.26,0,deposit,94.26
55,10-01-2014,Eve,204.11,0,withdrawal,-204.11
52,10-01-2014,Alice,108.24,0,withdrawal,-108.24
57,10-01-2014,Alice,121.05,0,withdrawal,-121.05
64,11-01-2014,Charlie,3.1,0,deposit,3.1
63,11-01-2014,Bob,122.83,0,deposit,122.83
61,11-01-2014,Alice,622.75,0,deposit,622.75
60,11-01-2014,Bob,153.82,0,withdrawal,-153.82
62,11-01-2014,Charlie,45.28,0,deposit,45.28
65,12-01-2014,Alice,58.14,0,withdrawal,-58.14
66,12-01-2014,Bob,186.85,0,withdrawal,-186.85
67,12-01-2014,Alice,37.15,0,withdrawal,-37.15
68,12-01-2014,David,60.64,0,withdrawal,-60.64
70,12-01-2014,David,93.83,0,deposit,93.83
72,12-01-2014,Charlie,428.84,0,withdrawal,-428.84
71,12-01-2014,Bob,105.29,0,withdrawal,-105.29
73,12-01-2014,David,19.91,0,deposit,19.91
74,12-01-2014,Charlie,19.31,0,withdrawal,-19.31
75,12-01-2014,Eve,369.33,0,deposit,369.33
76,12-01-2014,Charlie,232.5,0,deposit,232.5
69,12-01-2014,Charlie,390.17,0,withdrawal,-390.17
81,13-01-2014,David,85.47,0,deposit,85.47
77,13-01-2014,David,48.57,0,withdrawal,-48.57
78,13-01-2014,Eve,300.91,0,withdrawal,-300.91
82,13-01-2014,Eve,57.3,0,deposit,57.3
79,13-01-2014,Charlie,77.05,0,withdrawal,-77.05
83,13-01-2014,Charlie,76.29,0,withdrawal,-76.29
84,13-01-2014,David,201.18,0,withdrawal,-201.18
85,13-01-2014,Charlie,108.42,0,withdrawal,-108.42
80,13-01-2014,Alice,35.38,0,withdrawal,-35.38
87,14-01-2014,Eve,162.82,0,deposit,162.82
88,14-01-2014,David,573.16,0,withdrawal,-573.16
89,14-01-2014,Bob,587.92,0,withdrawal,-587.92
91,14-01-2014,Bob,22.62,0,deposit,22.62
90,14-01-2014,Bob,135.82,0,withdrawal,-135.82
86,14-01-2014,Bob,122.01,0,deposit,122.01
92,15-01-2014,David,40.96,0,deposit,40.96
93,15-01-2014,Bob,81.09,0,withdrawal,-81.09
99,16-01-2014,Eve,16.9,0,deposit,16.9
95,16-01-2014,Eve,349.67,0,withdrawal,-349.67
96,16-01-2014,Eve,662.33,0,withdrawal,-662.33
97,16-01-2014,David,56.72,0,deposit,56.72
94,16-01-2014,Charlie,211.11,0,withdrawal,-211.11
103,16-01-2014,David,26.47,0,deposit,26.47
100,16-01-2014,Bob,0.37,0,withdrawal,-0.37
101,16-01-2014,Charlie,236.52,0,deposit,236.52
102,16-01-2014,David,169.01,0,deposit,169.01
104,16-01-2014,Alice,243.23,0,withdrawal,-243.23
105,16-01-2014,Alice,363.51,0,deposit,363.51
98,16-01-2014,Eve,11.6,0,deposit,11.6
110,17-01-2014,Bob,36.41,0,deposit,36.41
106,17-01-2014,Eve,52.87,0,deposit,52.87
107,17-01-2014,Charlie,127.83,0,deposit,127.83
111,17-01-2014,Alice,221.02,0,deposit,221.02
108,17-01-2014,Eve,80.82,0,deposit,80.82
112,17-01-2014,Bob,174.3,0,withdrawal,-174.3
113,17-01-2014,Eve,182.45,0,withdrawal,-182.45
114,17-01-2014,Alice,605.78,0,deposit,605.78
109,17-01-2014,Eve,16.03,0,withdrawal,-16.03
117,18-01-2014,David,168.54,0,withdrawal,-168.54
116,18-01-2014,Charlie,51.85,0,withdrawal,-51.85
115,18-01-2014,Charlie,92.05,0,deposit,92.05
120,18-01-2014,David,25.06,0,withdrawal,-25.06
119,18-01-2014,Eve,233.35,0,deposit,233.35
118,18-01-2014,Eve,270.1,0,deposit,270.1
129,19-01-2014,Alice,59.18,0,deposit,59.18
121,19-01-2014,Charlie,684.8,0,deposit,684.8
122,19-01-2014,David,51.59,0,withdrawal,-51.59
123,19-01-2014,Charlie,53.56,0,withdrawal,-53.56
124,19-01-2014,Charlie,34.07,0,withdrawal,-34.07
125,19-01-2014,Bob,53.84,0,withdrawal,-53.84
127,19-01-2014,David,270.87,0,withdrawal,-270.87
128,19-01-2014,Bob,418.83,0,deposit,418.83
126,19-01-2014,Charlie,81.2,0,deposit,81.2
130,19-01-2014,Bob,887.47,0,withdrawal,-887.47
131,19-01-2014,Bob,672.22,0,withdrawal,-672.22
133,19-01-2014,Charlie,44.03,0,deposit,44.03
134,19-01-2014,Charlie,168.85,0,withdrawal,-168.85
135,19-01-2014,Eve,128.99,0,deposit,128.99
136,19-01-2014,Bob,125.99,0,deposit,125.99
137,19-01-2014,Charlie,11.25,0,deposit,11.25
138,19-01-2014,Bob,377.16,0,deposit,377.16
139,19-01-2014,Bob,159.24,0,withdrawal,-159.24
132,19-01-2014,Charlie,409.9,0,deposit,409.9
140,20-01-2014,Bob,206.14,0,withdrawal,-206.14
141,20-01-2014,Charlie,36.54,0,withdrawal,-36.54
143,21-01-2014,Eve,344.45,0,deposit,344.45
144,21-01-2014,Bob,143.96,0,deposit,143.96
142,21-01-2014,Bob,224.85,0,deposit,224.85
146,21-01-2014,Charlie,104.86,0,deposit,104.86
149,21-01-2014,Alice,40.82,0,deposit,40.82
151,21-01-2014,David,186.29,0,withdrawal,-186.29
150,21-01-2014,David,43.53,0,deposit,43.53
145,21-01-2014,Alice,55.62,0,deposit,55.62
147,21-01-2014,Bob,83.53,0,deposit,83.53
148,21-01-2014,Alice,133.9,0,deposit,133.9
152,22-01-2014,Bob,213.09,0,deposit,213.09
153,22-01-2014,Charlie,124.13,0,withdrawal,-124.13
154,22-01-2014,Eve,616.07,0,withdrawal,-616.07
156,22-01-2014,David,484.8,0,withdrawal,-484.8
158,22-01-2014,Alice,27.87,0,withdrawal,-27.87
159,22-01-2014,David,48.29,0,withdrawal,-48.29
155,22-01-2014,Bob,68.21,0,withdrawal,-68.21
157,22-01-2014,Bob,383.77,0,deposit,383.77
161,23-01-2014,Eve,308.26,0,deposit,308.26
164,23-01-2014,Eve,65.37,0,withdrawal,-65.37
160,23-01-2014,Bob,119.1,0,withdrawal,-119.1
163,23-01-2014,Bob,682.67,0,withdrawal,-682.67
168,23-01-2014,Eve,41.81,0,deposit,41.81
166,23-01-2014,Charlie,2.04,0,withdrawal,-2.04
167,23-01-2014,Alice,531.7,0,withdrawal,-531.7
165,23-01-2014,Alice,345.67,0,deposit,345.67
162,23-01-2014,David,454.77,0,deposit,454.77
169,24-01-2014,David,155.74,0,deposit,155.74
170,24-01-2014,Alice,142.9,0,withdrawal,-142.9
171,24-01-2014,Bob,2.62,0,withdrawal,-2.62
172,24-01-2014,David,39.84,0,deposit,39.84
173,24-01-2014,Charlie,137.68,0,deposit,137.68
174,24-01-2014,Charlie,279.32,0,deposit,279.32
177,25-01-2014,David,1.34,0,withdrawal,-1.34
179,25-01-2014,Bob,237.85,0,deposit,237.85
176,25-01-2014,David,107,0,deposit,107
178,25-01-2014,David,848.83,0,deposit,848.83
184,25-01-2014,Bob,93.94,0,withdrawal,-93.94
180,25-01-2014,Eve,345.87,0,withdrawal,-345.87
182,25-01-2014,Charlie,249.28,0,deposit,249.28
183,25-01-2014,David,66.61,0,withdrawal,-66.61
175,25-01-2014,David,115,0,deposit,115
181,25-01-2014,Eve,352.67,0,withdrawal,-352.67
190,26-01-2014,Charlie,61.23,0,deposit,61.23
189,26-01-2014,Charlie,379.07,0,withdrawal,-379.07
188,26-01-2014,Charlie,105.66,0,withdrawal,-105.66
191,26-01-2014,Eve,67.69,0,withdrawal,-67.69
186,26-01-2014,Bob,269.62,0,withdrawal,-269.62
185,26-01-2014,Eve,137.52,0,deposit,137.52
187,26-01-2014,Charlie,156.98,0,withdrawal,-156.98
197,27-01-2014,Charlie,130.95,0,withdrawal,-130.95
196,27-01-2014,Charlie,348.88,0,deposit,348.88
192,27-01-2014,David,8.69,0,withdrawal,-8.69
194,27-01-2014,Alice,630.82,0,withdrawal,-630.82
193,27-01-2014,Charlie,4.64,0,withdrawal,-4.64
195,27-01-2014,Eve,206.14,0,deposit,206.14
203,28-01-2014,Bob,591.03,0,withdrawal,-591.03
198,28-01-2014,David,117.7,0,withdrawal,-117.7
200,28-01-2014,Bob,2.66,0,withdrawal,-2.66
201,28-01-2014,Bob,338.44,0,withdrawal,-338.44
199,28-01-2014,Eve,834.89,0,withdrawal,-834.89
206,28-01-2014,David,8.89,0,withdrawal,-8.89
204,28-01-2014,Bob,174.25,0,withdrawal,-174.25
209,28-01-2014,Alice,131.09,0,deposit,131.09
207,28-01-2014,David,69.78,0,withdrawal,-69.78
208,28-01-2014,Bob,60.65,0,withdrawal,-60.65
205,28-01-2014,Bob,312.97,0,deposit,312.97
202,28-01-2014,Eve,382.51,0,withdrawal,-382.51
215,29-01-2014,Alice,157.56,0,withdrawal,-157.56
210,29-01-2014,David,114.17,0,deposit,114.17
211,29-01-2014,Bob,300.47,0,deposit,300.47
213,29-01-2014,David,2.76,0,deposit,2.76
212,29-01-2014,David,21.09,0,deposit,21.09
217,29-01-2014,Charlie,131.4,0,withdrawal,-131.4
216,29-01-2014,David,10.48,0,withdrawal,-10.48
218,29-01-2014,Alice,399.91,0,deposit,399.91
219,29-01-2014,Eve,180.95,0,deposit,180.95
220,29-01-2014,Alice,87.68,0,withdrawal,-87.68
221,29-01-2014,Bob,468.05,0,withdrawal,-468.05
214,29-01-2014,Eve,145.55,0,deposit,145.55
222,30-01-2014,Bob,1248.84,0,withdrawal,-1248.84
223,30-01-2014,Charlie,237.93,0,deposit,237.93
224,30-01-2014,Bob,597.56,0,withdrawal,-597.56
225,30-01-2014,Alice,65.52,0,deposit,65.52
226,30-01-2014,David,38.75,0,deposit,38.75
227,31-01-2014,Bob,5.34,0,withdrawal,-5.34
228,31-01-2014,Alice,50.09,0,withdrawal,-50.09
229,31-01-2014,Charlie,263.72,0,withdrawal,-263.72
230,31-01-2014,David,49.19,0,deposit,49.19
232,31-01-2014,Bob,102.87,0,withdrawal,-102.87
234,31-01-2014,Bob,190.06,0,deposit,190.06
235,31-01-2014,David,61.51,0,withdrawal,-61.51
236,31-01-2014,David,94.51,0,withdrawal,-94.51
231,31-01-2014,Alice,18.83,0,deposit,18.83
233,31-01-2014,Eve,272.86,0,deposit,272.86
,01-02-2014,job,10000,10000,deposit,10000
242,01-02-2014,David,227.57,0,deposit,227.57
243,01-02-2014,David,88.31,0,deposit,88.31
240,01-02-2014,David,97.49,0,deposit,97.49
239,01-02-2014,Alice,396.23,0,deposit,396.23
238,01-02-2014,Alice,210.91,0,withdrawal,-210.91
237,01-02-2014,Charlie,483.77,0,deposit,483.77
241,01-02-2014,Bob,821.48,0,deposit,821.48
248,02-02-2014,Alice,76.57,0,deposit,76.57
247,02-02-2014,David,47.79,0,withdrawal,-47.79
245,02-02-2014,Eve,9.08,0,deposit,9.08
244,02-02-2014,Bob,65.33,0,deposit,65.33
246,02-02-2014,Charlie,402.78,0,deposit,402.78
254,03-02-2014,David,81.24,0,withdrawal,-81.24
250,03-02-2014,Alice,77.05,0,withdrawal,-77.05
252,03-02-2014,Eve,138.8,0,deposit,138.8
251,03-02-2014,Bob,190,0,withdrawal,-190
249,03-02-2014,David,39.56,0,withdrawal,-39.56
253,03-02-2014,Eve,248.16,0,withdrawal,-248.16
260,04-02-2014,Eve,34.93,0,withdrawal,-34.93
262,04-02-2014,Bob,20.63,0,deposit,20.63
259,04-02-2014,Bob,319.19,0,withdrawal,-319.19
261,04-02-2014,Eve,25.52,0,withdrawal,-25.52
257,04-02-2014,David,320.02,0,deposit,320.02
256,04-02-2014,Charlie,195.15,0,withdrawal,-195.15
255,04-02-2014,Alice,47.81,0,deposit,47.81
258,04-02-2014,David,226.89,0,deposit,226.89
270,05-02-2014,Alice,22.18,0,deposit,22.18
269,05-02-2014,Bob,208.8,0,withdrawal,-208.8
263,05-02-2014,Eve,20.69,0,deposit,20.69
267,05-02-2014,Charlie,360.94,0,deposit,360.94
266,05-02-2014,Charlie,245.63,0,deposit,245.63
264,05-02-2014,Alice,219.24,0,deposit,219.24
265,05-02-2014,Bob,118.66,0,deposit,118.66
268,05-02-2014,Eve,8.06,0,deposit,8.06
276,06-02-2014,Charlie,79.69,0,withdrawal,-79.69
275,06-02-2014,Bob,95.24,0,withdrawal,-95.24
274,06-02-2014,Eve,2.55,0,withdrawal,-2.55
272,06-02-2014,David,162.51,0,deposit,162.51
271,06-02-2014,Charlie,143.6,0,deposit,143.6
273,06-02-2014,Eve,37.11,0,deposit,37.11
281,07-02-2014,Bob,698.28,0,deposit,698.28
277,07-02-2014,David,25.32,0,withdrawal,-25.32
278,07-02-2014,Alice,7.13,0,withdrawal,-7.13
283,07-02-2014,Alice,250.79,0,withdrawal,-250.79
280,07-02-2014,Alice,111.39,0,withdrawal,-111.39
282,07-02-2014,Alice,19.41,0,deposit,19.41
284,07-02-2014,Alice,204.31,0,withdrawal,-204.31
285,07-02-2014,Eve,315.27,0,withdrawal,-315.27
286,07-02-2014,David,5.63,0,deposit,5.63
279,07-02-2014,David,100.5,0,withdrawal,-100.5
287,08-02-2014,Bob,112.99,0,deposit,112.99
291,08-02-2014,Alice,469.69,0,withdrawal,-469.69
288,08-02-2014,David,14.16,0,withdrawal,-14.16
293,08-02-2014,Bob,237.39,0,deposit,237.39
290,08-02-2014,Alice,274.45,0,deposit,274.45
292,08-02-2014,Eve,105.26,0,deposit,105.26
289,08-02-2014,Eve,112.96,0,deposit,112.96
294,08-02-2014,Alice,564.27,0,deposit,564.27
295,08-02-2014,Eve,178.27,0,deposit,178.27
300,09-02-2014,Alice,499.94,0,deposit,499.94
296,09-02-2014,Alice,470.95,0,deposit,470.95
298,09-02-2014,Charlie,26.76,0,deposit,26.76
297,09-02-2014,Eve,120.44,0,withdrawal,-120.44
301,09-02-2014,Bob,42.36,0,withdrawal,-42.36
302,09-02-2014,David,289.01,0,deposit,289.01
303,09-02-2014,Alice,20.88,0,withdrawal,-20.88
305,09-02-2014,Charlie,56.84,0,withdrawal,-56.84
304,09-02-2014,Alice,264.83,0,deposit,264.83
299,09-02-2014,David,127.57,0,deposit,127.57
307,10-02-2014,Eve,120.4,0,deposit,120.4
310,10-02-2014,Alice,62.86,0,deposit,62.86
316,10-02-2014,David,516.27,0,deposit,516.27
308,10-02-2014,Eve,17.49,0,withdrawal,-17.49
317,10-02-2014,David,72.87,0,withdrawal,-72.87
306,10-02-2014,Alice,38.67,0,deposit,38.67
311,10-02-2014,David,27.98,0,deposit,27.98
313,10-02-2014,Bob,177.99,0,deposit,177.99
314,10-02-2014,Eve,99.13,0,deposit,99.13
315,10-02-2014,David,421.3,0,withdrawal,-421.3
309,10-02-2014,Charlie,49.94,0,withdrawal,-49.94
312,10-02-2014,Charlie,89.99,0,deposit,89.99
322,11-02-2014,Eve,59.77,0,withdrawal,-59.77
320,11-02-2014,Alice,22.38,0,withdrawal,-22.38
321,11-02-2014,Eve,67.67,0,deposit,67.67
318,11-02-2014,David,363.27,0,deposit,363.27
323,11-02-2014,Charlie,129.59,0,deposit,129.59
325,11-02-2014,David,6.35,0,withdrawal,-6.35
324,11-02-2014,Eve,73.06,0,deposit,73.06
319,11-02-2014,David,27.98,0,deposit,27.98
330,12-02-2014,David,265.5,0,withdrawal,-265.5
326,12-02-2014,David,271.28,0,withdrawal,-271.28
327,12-02-2014,Alice,162.91,0,withdrawal,-162.91
328,12-02-2014,Alice,61.07,0,deposit,61.07
335,12-02-2014,Alice,112.92,0,deposit,112.92
334,12-02-2014,Bob,64.96,0,deposit,64.96
331,12-02-2014,David,263.28,0,deposit,263.28
332,12-02-2014,Bob,143.28,0,withdrawal,-143.28
333,12-02-2014,Eve,36.41,0,deposit,36.41
336,12-02-2014,Eve,306.54,0,withdrawal,-306.54
329,12-02-2014,Eve,57.74,0,withdrawal,-57.74
343,13-02-2014,Charlie,635.62,0,deposit,635.62
342,13-02-2014,Eve,84.15,0,withdrawal,-84.15
345,13-02-2014,Alice,109.54,0,withdrawal,-109.54
340,13-02-2014,Alice,323.87,0,deposit,323.87
339,13-02-2014,Eve,18.23,0,deposit,18.23
338,13-02-2014,Eve,0.27,0,withdrawal,-0.27
341,13-02-2014,Charlie,380.92,0,deposit,380.92
337,13-02-2014,Charlie,441.97,0,deposit,441.97
344,13-02-2014,David,71.78,0,withdrawal,-71.78
350,14-02-2014,Bob,165.02,0,withdrawal,-165.02
349,14-02-2014,Bob,206.16,0,deposit,206.16
348,14-02-2014,Alice,28.57,0,deposit,28.57
347,14-02-2014,Bob,7.56,0,deposit,7.56
346,14-02-2014,Alice,111.3,0,deposit,111.3
359,15-02-2014,Eve,150.09,0,withdrawal,-150.09
358,15-02-2014,Alice,240.9,0,deposit,240.9
357,15-02-2014,Alice,27.02,0,deposit,27.02
353,15-02-2014,Bob,120.9,0,deposit,120.9
355,15-02-2014,Bob,219.19,0,withdrawal,-219.19
354,15-02-2014,Eve,26.04,0,withdrawal,-26.04
352,15-02-2014,Charlie,159.23,0,withdrawal,-159.23
351,15-02-2014,Eve,34.96,0,withdrawal,-34.96
356,15-02-2014,David,4.14,0,withdrawal,-4.14
363,16-02-2014,David,205.6,0,deposit,205.6
360,16-02-2014,David,28.35,0,deposit,28.35
366,16-02-2014,David,46.03,0,deposit,46.03
362,16-02-2014,Charlie,834.82,0,deposit,834.82
364,16-02-2014,Charlie,39.75,0,withdrawal,-39.75
365,16-02-2014,David,66.24,0,deposit,66.24
361,16-02-2014,Charlie,406.99,0,withdrawal,-406.99
367,17-02-2014,Bob,392.02,0,withdrawal,-392.02
368,17-02-2014,Bob,84.64,0,withdrawal,-84.64
369,17-02-2014,David,134.66,0,deposit,134.66
370,17-02-2014,Bob,30.82,0,withdrawal,-30.82
371,17-02-2014,Charlie,25.24,0,deposit,25.24
372,18-02-2014,Eve,107.79,0,deposit,107.79
375,18-02-2014,Charlie,510.11,0,withdrawal,-510.11
373,18-02-2014,Bob,443.81,0,withdrawal,-443.81
378,18-02-2014,Bob,198.8,0,deposit,198.8
377,18-02-2014,Charlie,123.41,0,withdrawal,-123.41
376,18-02-2014,David,94.35,0,deposit,94.35
374,18-02-2014,Bob,68.44,0,deposit,68.44
380,18-02-2014,Alice,7.37,0,withdrawal,-7.37
379,18-02-2014,Charlie,401.23,0,deposit,401.23
388,19-02-2014,Charlie,38.29,0,deposit,38.29
389,19-02-2014,Charlie,84.5,0,withdrawal,-84.5
387,19-02-2014,Eve,138.85,0,deposit,138.85
386,19-02-2014,Eve,304.19,0,deposit,304.19
385,19-02-2014,David,92.83,0,withdrawal,-92.83
384,19-02-2014,Alice,211.14,0,deposit,211.14
383,19-02-2014,David,72.55,0,withdrawal,-72.55
382,19-02-2014,Charlie,220.96,0,deposit,220.96
381,19-02-2014,Bob,254.42,0,withdrawal,-254.42
393,20-02-2014,David,176.26,0,withdrawal,-176.26
390,20-02-2014,Eve,306.11,0,deposit,306.11
397,20-02-2014,David,437.84,0,withdrawal,-437.84
391,20-02-2014,Alice,37.83,0,withdrawal,-37.83
394,20-02-2014,Charlie,207.64,0,deposit,207.64
395,20-02-2014,Charlie,33.99,0,withdrawal,-33.99
396,20-02-2014,David,228.36,0,withdrawal,-228.36
392,20-02-2014,Eve,96.38,0,withdrawal,-96.38
401,21-02-2014,Charlie,30.38,0,deposit,30.38
398,21-02-2014,Eve,188.62,0,deposit,188.62
402,21-02-2014,Alice,508.73,0,deposit,508.73
400,21-02-2014,Eve,148.56,0,deposit,148.56
404,21-02-2014,Alice,142.28,0,withdrawal,-142.28
403,21-02-2014,David,31.87,0,withdrawal,-31.87
399,21-02-2014,Eve,1378.49,0,withdrawal,-1378.49
405,21-02-2014,Bob,22.43,0,withdrawal,-22.43
407,22-02-2014,Charlie,190.16,0,deposit,190.16
408,22-02-2014,David,129.53,0,deposit,129.53
406,22-02-2014,David,59.44,0,deposit,59.44
409,23-02-2014,Charlie,570.19,0,deposit,570.19
410,23-02-2014,Eve,312.93,0,withdrawal,-312.93
411,23-02-2014,Charlie,300.17,0,withdrawal,-300.17
412,23-02-2014,Alice,458.9,0,deposit,458.9
418,24-02-2014,Eve,177.86,0,withdrawal,-177.86
413,24-02-2014,David,226.79,0,deposit,226.79
414,24-02-2014,Eve,125.76,0,withdrawal,-125.76
415,24-02-2014,Bob,38.82,0,deposit,38.82
416,24-02-2014,Alice,279.8,0,withdrawal,-279.8
421,24-02-2014,Charlie,243.57,0,deposit,243.57
419,24-02-2014,David,692.85,0,deposit,692.85
422,24-02-2014,David,99.36,0,deposit,99.36
423,24-02-2014,Charlie,141.34,0,withdrawal,-141.34
424,24-02-2014,Eve,258.23,0,withdrawal,-258.23
425,24-02-2014,Charlie,156.56,0,withdrawal,-156.56
417,24-02-2014,Charlie,213.04,0,withdrawal,-213.04
420,24-02-2014,Bob,184.67,0,deposit,184.67
431,25-02-2014,Bob,260.29,0,withdrawal,-260.29
432,25-02-2014,Charlie,226.18,0,deposit,226.18
430,25-02-2014,Bob,745.4,0,deposit,745.4
428,25-02-2014,Bob,16.03,0,deposit,16.03
427,25-02-2014,Charlie,539.74,0,withdrawal,-539.74
426,25-02-2014,Bob,38.63,0,deposit,38.63
429,25-02-2014,Alice,188.83,0,withdrawal,-188.83
437,26-02-2014,Charlie,1192.02,0,deposit,1192.02
438,26-02-2014,Bob,240.06,0,withdrawal,-240.06
435,26-02-2014,Charlie,703.28,0,deposit,703.28
434,26-02-2014,Charlie,287.57,0,deposit,287.57
433,26-02-2014,Alice,219,0,withdrawal,-219
436,26-02-2014,Eve,313.85,0,deposit,313.85
443,27-02-2014,Charlie,2.49,0,deposit,2.49
440,27-02-2014,Eve,327.76,0,withdrawal,-327.76
441,27-02-2014,Bob,702.25,0,deposit,702.25
439,27-02-2014,Eve,41.84,0,withdrawal,-41.84
442,27-02-2014,Charlie,189.17,0,deposit,189.17
444,28-02-2014,Bob,774.68,0,deposit,774.68
449,28-02-2014,Bob,135.1,0,withdrawal,-135.1
445,28-02-2014,Charlie,55.71,0,withdrawal,-55.71
448,28-02-2014,Bob,99.75,0,deposit,99.75
446,28-02-2014,David,202.32,0,deposit,202.32
450,28-02-2014,Alice,106.8,0,deposit,106.8
451,28-02-2014,Charlie,53.5,0,deposit,53.5
452,28-02-2014,Eve,14.96,0,deposit,14.96
453,28-02-2014,Charlie,582.23,0,deposit,582.23
447,28-02-2014,David,316.28,0,withdrawal,-316.28
456,01-03-2014,Charlie,364.54,0,deposit,364.54
,01-03-2014,job,10000,10000,deposit,10000
455,01-03-2014,Alice,203.02,0,deposit,203.02
459,01-03-2014,Bob,408.57,0,deposit,408.57
457,01-03-2014,Alice,60.09,0,withdrawal,-60.09
458,01-03-2014,Charlie,535.24,0,deposit,535.24
454,01-03-2014,Charlie,194.11,0,deposit,194.11
464,02-03-2014,Eve,215.72,0,deposit,215.72
463,02-03-2014,Bob,93.7,0,withdrawal,-93.7
462,02-03-2014,David,328.01,0,deposit,328.01
461,02-03-2014,Eve,288.25,0,deposit,288.25
460,02-03-2014,Bob,142.63,0,withdrawal,-142.63
466,02-03-2014,Charlie,159.8,0,withdrawal,-159.8
465,02-03-2014,David,835.3,0,withdrawal,-835.3
467,02-03-2014,Alice,383.97,0,deposit,383.97
468,02-03-2014,Eve,136.37,0,withdrawal,-136.37
472,03-03-2014,Eve,11.82,0,deposit,11.82
469,03-03-2014,Alice,15.12,0,deposit,15.12
471,03-03-2014,David,217.33,0,withdrawal,-217.33
477,03-03-2014,Bob,103.31,0,deposit,103.31
473,03-03-2014,Eve,294.73,0,withdrawal,-294.73
474,03-03-2014,Bob,411.44,0,withdrawal,-411.44
475,03-03-2014,Alice,191.9,0,withdrawal,-191.9
476,03-03-2014,Bob,358.51,0,deposit,358.51
470,03-03-2014,Bob,289.17,0,withdrawal,-289.17
478,04-03-2014,Eve,267.32,0,withdrawal,-267.32
483,04-03-2014,Eve,77.61,0,deposit,77.61
479,04-03-2014,Alice,564.39,0,withdrawal,-564.39
488,04-03-2014,Eve,325.91,0,withdrawal,-325.91
481,04-03-2014,David,123.01,0,withdrawal,-123.01
482,04-03-2014,Alice,21.25,0,withdrawal,-21.25
